round,numSession,groupInRound,CV,bid1,signal1,bid2,signal2,bid3,signal3,bid4,signal4,OtherHBid,StratWin,subject,treatment,male,age,major,CRT1,CRT2,CRT3,N_s,advice,alpha,belief_other,beta,bid_pref,choice_pref,dRedChosen,dTie,dWin,displayLotto,endowment,epsilon,explain1,explain2,explain3,explain4,groupRandomN,guess,lotteryid,pLotto,partFee,paymentRound,playerInGroup,q1abid65,q1bbid70,q1cbid75,q1dbid80,q1ebid85,randomPrice,sesIDNum,ticket,vLotto,winBid,lowbound,upbound,rrange,fix,euv,smeuv,rec_round,lottoRound,rec_lottoRound,expV,NEcomp,nbid,BEbid,NEbid,BEBF,NEBF,BF,thBF,loss,fixHigh,DeuvH,correctAns,maxbid,lottery,Highprob,Highval,rec_lround,fixsmeuv,Lpayoff,bidofix,lnbidofix,CVsmeuv,CVeuv,CVepsilon,CVfixHigh,CVHighprob,CVHighval,CVHHprobval,lnbid,lnNEbid,lnBEbid,lnnbid,lnfix,lnsignal,lneuv,HHprobval,epsHigh,bidofix100,NEbidofix100,BEbidofix100,CVlnfix,CVlnsignal,nmexpV,NEmnbid,nmexpV2,CVexpV,CVnmexpV,CVnmexpV2,CVepsHigh,CVNEmnbid,countWin,L1loss,L1Lpayoff,L1payoff,payoff,payoff1groupid_in_subsession,payoff1playerid_in_group,payoff1playerphase_one_payoff,payoff1playerphase_two_payoff,payoff1playertotal_payoff_dol,payoff1subsessionround_number,payoffFinal,payoffLotteryType,payoffPartFee,payoffPhaseTwoReal,payoffPlayLotto,payoffPlayerPayoff,payoffRandomChipId,payoffRandomCutoff,payoffRedChips,payoffRound,payoffTaskNum,payoffTotalChips,taskChoice,taskCutoff,taskDieSide,maxV,domnBid,domnBid2,overbid,dmaxVsig,bidofixoeuv,smeuvoeuv,epsilonoeuv,testCV,testCP,Utype,CEnorm,averse,consistency,CEnorm1,CEnorm2,CEnorm3,CEnorm2c,CEnorm3c,RP,CRP,AP,aver1,aver2,aver3,bidhatCV,bidhatCP,sumNGroup,Grrange,GdomnBid,upticket,StratProfit
1,2,2,0,15,63,68,64,30,65,3,69,68,69,15,cp,1,24,Electrical Engineering,10,20,24,4,10,30,"Higher probability of non zero outcome, they bid large values and the reverse for lower probability values",90,-1,-1,0,0,0,1,12,4,"Greater the probability, better the chances of winning the value mentioned as the outcome so I bid high values","With lower probability, the value could end up to be zero so no use of bidding for negative payoff",Better chance of winning a significant value,Higher probability for lottery B will likely be my option,94,10,3,66,10,73,2,58,58,60,65,62,,3,0,40,68,34,86,1,40,60,9,1,1,1,24,4.0175987e-08,27.6,26.639999,26,-23.639999,-23,-24.6,1.6000004,0,0,1,0,60,0,1,0,1,0,0,.075000003,-2.5902672,0,0,0,0,0,0,,1.0986123,3.2580965,3.2824137,3.3178158,3.6888795,4.2341065,4.0943446,0,0,7.5000005,65,66.599998,0,0,3.6000004,-1.6000004,12.960003,0,0,0,0,0,25,,,,0,1,3,0,0,22,1,12,1,22,0,1,0,18,47,10,73,1,20,,,,40,0,0,-37,-29,.0012500001,.15000001,.06666667,48.575077,24.40873,,,,,1.4,.10666668,.53666663,,,-.39999998,.10666668,.53666663,-1,1,1,48.575077,24.40873,4,1,1,.66600001,25.639999
1,2,3,0,10,38,5,38,34,38,25,43,34,35,28,cp,1,28,economics,5,1,47,4,20,30,random and people didn't look at valuation of the lottery,90,0,0,0,0,0,1,12,4,i looked at both signals and possible gain,bid lower than 30,they seem the same,same,16,28,3,40,10,76,2,30,30,36,50,65,,16,40,40,34,34,86,1,40,60,-17,1,1,1,24,.017774394,17.200001,16.24,15.60711,8.7600002,9.39289,7.7999992,1.5928907,0,0,1,2,60,0,1,0,1,0,0,.625,-.47000363,0,0,0,0,0,0,,3.2188759,2.7477267,2.7874773,2.8449094,3.6888795,3.7612002,4.0943446,0,0,62.5,39.017776,40.599998,0,0,-6.7999992,-1.5928907,46.23999,0,0,0,0,0,2,,,,0,1,16,0,66,24.75,1,15,3,25,0,0,0,18,66,11,76,3,20,,,,40,0,0,-15,-3,.010416667,-.28333333,.06666667,30.416426,12.865345,,,,,.68666667,.10666668,.031666666,,,.31333333,.10666668,.031666666,1,1,1,30.416426,12.865345,4,1,1,.40599999,15.24
1,6,2,0,5,24,10,26,7,27,20,30,10,11,98,cp,0,29,Bioinformatics,10,5,47,4,12,10,"if signal is under 50% careful;ly buid, if over 50% bid freely.",70,-1,-1,1,0,1,1,12,4,"If the winning value is 75 and the signal indicates a probability of around 50%, i bidforan amount a little overthan 50% because that is a high chance of winning the lottery, but the payoff would be too low if the bif a lot more than 50% of the value. When the probability is much closerto 100 % like80-90% i big much closer to the value of the win becuase chances of winning the lottery are high and people would probably bid more for their auctions, so something like bidding 65.",If you win you get atleast 13 credits. if you lose you lose lessthan 15 credits.,chances of winning seem overall higher,chances of winning seem overall higher,54,0,4,26,10,57,4,35,45,59,70,65,,7,0,60,20,14,66,1,60,40,-10,1,1,1,24,.00053674023,18,16.559999,15.600322,3.4400005,4.3996782,2,2.3996782,1,1,0,2,60,0,0,1,1,-10,-20,.33333334,-1.0986123,0,0,0,0,0,0,,2.9957323,2.7472916,2.8069901,2.8903718,4.0943446,3.4011974,3.6888795,0,0,33.333336,26.000536,27.599998,0,0,-6,-2.3996782,36,0,0,0,0,0,15,,,,-20,1,7,0,150,28.25,1,18,1,28,150,1,0,9,69,15,57,4,30,,,,60,0,0,-40,30,.0083333338,-.25,.1,29.668957,13.333546,,,,,1.15,-.083333343,.16666663,,,-.14999998,-.083333343,.16666663,-1,1,1,29.668957,13.333546,4,1,1,.27599999,15.559999
2,2,2,0,33,66,0,68,20,70,30,71,33,34,15,cp,1,24,Electrical Engineering,10,20,24,4,10,30,"Higher probability of non zero outcome, they bid large values and the reverse for lower probability values",90,-1,-1,0,0,0,1,12,4,"Greater the probability, better the chances of winning the value mentioned as the outcome so I bid high values","With lower probability, the value could end up to be zero so no use of bidding for negative payoff",Better chance of winning a significant value,Higher probability for lottery B will likely be my option,78,10,3,68,10,,4,58,58,60,65,62,,3,0,40,33,34,86,1,40,60,11,.5,2,.5,24,1.4779920e-08,28.4,27.440001,26.799999,2.5599995,3.2000008,1.6000004,1.6000004,0,0,1,0,60,0,1,0,.5,0,0,.75,-.28768209,0,0,0,0,0,0,,3.4011974,3.2884018,3.3120017,3.3463891,3.6888795,4.2626801,4.0943446,0,0,75,67,68.599998,0,0,4.3999996,-1.6000004,19.359997,0,0,0,0,0,25,0,0,0,0,1,3,0,0,22,1,12,1,22,0,1,0,18,47,10,73,1,20,,,,40,0,0,-10,-31,.0125,.18333334,.06666667,49.822407,25.341091,,,,,1.4,.10666668,.53666663,,,-.39999998,.10666668,.53666663,-1,1,1,49.822407,25.341091,4,1,1,.68599999,26.440001
2,6,2,0,15,29,10,30,12,30,10,33,15,16,104,cp,1,25,CS,10,1,1,4,20,10,Its differs person to person. I looked at selected probabilty range,70,-1,-1,1,0,0,1,12,4,higher the probability higher will be by bid,very low selected probability,"higher the probability, higher the preference","higher the probability, higher the preference",84,26,4,32,10,,2,10,10,10,11,13,,13,0,60,15,14,66,1,60,40,-7,.5,2,.5,24,.00011976292,19.799999,18.360001,17.400072,-8.3600006,-7.4000721,-9.7999992,2.3999271,0,1,0,0,60,0,0,1,.5,-7,0,.16666667,-1.7917595,0,0,0,0,0,0,,2.3025851,2.8564744,2.9101744,2.985682,4.0943446,3.4965076,3.6888795,0,0,16.666668,29.00012,30.6,0,0,-4.2000008,-2.3999271,17.640007,0,0,0,0,0,7,1,-50,-50,0,1,13,0,54,24.25,1,14,3,24,100,0,0,1,54,11,26,3,20,,,,60,0,0,-50,27,.0041666669,-.175,.1,33.026955,15.269816,,,,,.28666666,-.033333331,.046666674,,,.71333337,-.033333331,.046666674,1,1,1,33.026955,15.269816,4,1,1,.30600002,17.360001
3,2,3,0,11,36,30,38,10,39,0,42,30,31,14,cp,1,21,economics,5,5,47,4,0,30,I honestly could not guess. People were bidding 100 when payoff was 60 max.,90,1,1,1,0,0,1,12,4,"I bid 0 for everything in the experiment after a certain point as it became clear that the others in the experiment weren't bidding according to EV. People were bidding in excess of the maximum payoff a lot of the time and losing credits in all situations, so it got to the point where I thought it was better to take the guaranteed payoff from the endowments and leave with ~$20.",It's close to the EV of the lower bound,Higher potential returns,Higher potential returns.,73,0,3,38,10,,1,0,0,0,0,0,,2,0,40,30,34,86,1,40,60,-18,.33333334,3,.33333334,24,.029305022,16.799999,15.84,15.211722,-15.84,-15.211722,-16.799999,1.5882769,0,0,1,3,60,0,1,0,.33333334,0,0,0,,0,0,0,0,0,0,,-4.6051702,2.7220664,2.7625384,2.8213789,3.6888795,3.7376697,4.0943446,0,0,0,38.029305,39.599998,0,0,-7.2000008,-1.5882769,51.840012,0,0,0,0,0,0,0,0,0,0,1,2,0,52,24.166666,1,14,2,24,0,0,0,18,52,22,44,5,30,,,,40,0,0,-40,-2,0,-.30000001,.06666667,29.657434,12.444711,,,,,1.0033333,.37333333,.935,,,-.0033333302,.37333333,.935,-1,1,1,29.657434,12.444711,4,1,1,.396,14.84
3,6,4,0,25,54,40,55,15,58,60,59,40,41,102,cp,0,20,POLITICS,10,100,24,4,10,10,"I think people grew tired of the number of rounds and just started throwing in random values. There was one point when someone bet 100, and that clearly wouldn't work out well for them in the long run.  I think the better bets were the cautious ones.",70,1,1,0,0,1,1,12,4,i WILL Always gain more than i could lose.,The odds are not in her favor. She shouldn't try to win this one.,You have a wider range of possibility in lottery a.,same as above.,30,21,4,58,10,,3,20,20,30,30,30,,11,60,60,60,14,66,1,60,40,19,.33333334,3,.33333334,24,2.7070365e-10,35.400002,33.959999,33,26.040001,27,24.599998,2.4000015,0,1,0,0,60,0,0,1,.33333334,19,0,1,0,0,0,0,0,0,0,,4.0943446,3.4965076,3.5251834,3.5667119,4.0943446,4.0775375,3.6888795,0,0,100,55,56.599998,0,0,11.400002,-2.4000015,129.96004,0,0,0,0,0,18,1,-80,-80,0,1,11,0,25,23.041666,1,13,2,23,0,0,0,19,25,10,26,2,20,,,,60,3,1,0,1,.025,.47499999,.1,57.560059,33.389359,,,,,.83333337,.29500002,.16,,,.16666663,.29500002,.16,1,1,1,57.560059,33.389359,4,1,1,.56599998,32.959999
4,2,1,0,30,60,24,62,0,63,24,67,30,31,20,cp,1,22,Management of Technology,10,100,47,4,10,30,"bid the highest, even if it was higher than the lottery outcome",90,-1,-1,1,0,0,1,12,4,I gain the most if i win and lose the least if i lose,Because if i lose the lottery then i get less negative credits and if i win i get maximum positive credits,0-75% probability is way better than a range between 60 and 90,0-75% probability is way better than a range between 60 and 90,50,10,3,64,10,,3,25,24,25,35,19,,8,40,40,30,34,86,1,40,60,7,.25,4,.25,24,1.0920965e-07,26.799999,25.84,25.200001,-1.8400002,-1.2000008,-2.7999992,1.5999985,0,0,1,1,60,0,1,0,.25,0,0,.60000002,-.51082557,0,0,0,0,0,0,,3.1780539,3.2268441,3.2519238,3.2884018,3.6888795,4.2046928,4.0943446,0,0,60.000004,63,64.599998,0,0,2.7999992,-1.5999985,7.8399959,0,0,0,0,0,21,0,0,0,0,1,8,0,150,28.25,1,18,3,28,150,1,0,9,79,23,14,6,30,,,,40,1,1,-16,-27,.010000001,.11666667,.06666667,47.306175,23.482674,,,,,1.5966667,.063333392,.10166669,,,-.59666669,.063333392,.10166669,-1,1,1,47.306175,23.482674,4,1,1,.64600003,24.84
5,2,3,0,26,70,38,70,25,74,31,75,38,39,20,cp,1,22,Management of Technology,10,100,47,4,10,30,"bid the highest, even if it was higher than the lottery outcome",90,-1,-1,1,0,0,1,12,4,I gain the most if i win and lose the least if i lose,Because if i lose the lottery then i get less negative credits and if i win i get maximum positive credits,0-75% probability is way better than a range between 60 and 90,0-75% probability is way better than a range between 60 and 90,99,10,3,73,10,,3,25,24,25,35,19,,8,0,40,38,34,86,1,40,60,15,.2,5,.2,24,2.0002446e-09,30,29.040001,28.4,1.9599991,2.6000004,1,1.6000004,0,0,1,1,60,0,1,0,.2,0,0,.77499998,-.25489229,0,0,0,0,0,0,,3.4339871,3.3463891,3.3686743,3.4011974,3.6888795,4.3174882,4.0943446,0,0,77.5,71,72.600006,0,0,6,-1.6000004,36,0,0,0,0,0,21,0,0,0,0,1,8,0,150,28.25,1,18,3,28,150,1,0,9,79,23,14,6,30,,,,40,1,1,-9,-35,.012916666,.25,.06666667,52.252338,27.224737,,,,,1.5966667,.063333392,.10166669,,,-.59666669,.063333392,.10166669,-1,1,1,52.252338,27.224737,4,1,1,.72600001,28.040001
7,2,1,0,8,61,32,64,0,65,18,66,32,33,22,cp,1,19,DRAMA,5,100,47,4,9,30,"Some people bid more than the ticket was worth, so I couldn't begin to explain that. I suppose they misunderstood the rules.",90,-1,-1,1,0,0,1,12,4,"I kept the credit amounts to whole- or half-dollar increments in most cases. I didn't want to bid more than five dollars, as that would be a large loss. My bid amount ($0.50-$4.50) was based on the probability of a successful lottery ticket.",$1.50 is a manageable loss and 25 credits aren't worth a big risk.,"It's the middle of the road choice. I have a guaranteed probability, and my minimum possible win (6) and maximum possible win (90) are both respectable.",I am utilizing the same reasoning I used above.,36,0,3,62,10,,4,18,18,21,21,24,,10,40,40,32,34,86,1,40,60,6,.14285715,7,.14285715,24,1.8005628e-07,26.4,25.440001,24.799999,-7.4400005,-6.7999992,-8.3999996,1.6000004,0,0,1,2,60,0,1,0,.14285715,0,0,.44999999,-.79850775,0,0,0,0,0,0,,2.8903718,3.2108436,3.2363226,3.2733641,3.6888795,4.1896548,4.0943446,0,0,45,62,63.600002,0,0,2.3999996,-1.6000004,5.7599983,0,0,0,0,0,6,0,0,0,0,1,10,0,0,22,1,12,1,22,0,1,0,14,27,15,58,4,30,,,,40,0,0,-22,-26,.0074999998,.1,.06666667,46.663624,23.022011,,,,,.66333336,.056666672,-.21666664,,,.33666664,.056666672,-.21666664,1,1,1,46.663624,23.022011,4,1,1,.63600004,24.440001
